sum(PWGTP),SCHL_grouped,PINCP_adjusted
34,Associates degree,789000
19,Regular high school diploma,1113000
69,Associates degree,779000
38,Masters degree,1203000
33,Associates degree,661000
4,Associates degree,863000
28,Masters degree,1297000
80,Bachelors degree,1029000
5,N/A,1232000
48,Pre-diploma grade,610000
16,Regular high school diploma,900000
2,Pre-degree college,1120000
13,N/A,871000
9,GED or alternative credential,799000
10,N/A,1422000
18,Masters degree,1143000
55,Pre-degree college,849000
48,Masters degree,1094000
13,Bachelors degree,1115000
7,Associates degree,-12000
29,Pre-diploma grade,690000
12,Pre-degree college,1151000
12,Regular high school diploma,966000
14,Masters degree,1109000
52,Pre-degree college,826000
12,Pre-diploma grade,801000
17,Masters degree,1395000
21,N/A,838000
7,Regular high school diploma,806000
38,Masters degree,1129000
18,Bachelors degree,1440000
21,Regular high school diploma,1054000
11,Associates degree,764000
8,Masters degree,1037000
38,Bachelors degree,1298000
18,Bachelors degree,1312000
12,N/A,933000
6,Associates degree,999000
35,Masters degree,1089000
3,Bachelors degree,958000
24,Pre-diploma grade,907000
14,Pre-diploma grade,822000
11,Pre-degree college,988000
33,Regular high school diploma,873000
12,Pre-diploma grade,972000
3,Pre-diploma grade,762000
17,Associates degree,966000
16,Pre-degree college,1061000
19,GED or alternative credential,652000
12,Masters degree,1130000
48,N/A,1043000
36,Masters degree,1334000
70,Associates degree,833000
30,Pre-diploma grade,723000
27,GED or alternative credential,792000
18,Masters degree,1539000
16,Associates degree,795000
17,Bachelors degree,1083000
285357,GED or alternative credential,11000
277110,Bachelors degree,111000
40998,Regular high school diploma,102000
234496,Bachelors degree,99000
171882,Bachelors degree,84000
62285,N/A,27000
153724,Bachelors degree,130000
168022,Associates degree,71000
127602,Bachelors degree,148000
186470,Bachelors degree,79000
431830,Pre-degree college,58000
388080,Pre-degree college,51000
273108,Associates degree,52000
442333,Bachelors degree,29000
836570,Regular high school diploma,22000
36387,Pre-degree college,112000
269409,Bachelors degree,91000
377813,Bachelors degree,2000
169301,Regular high school diploma,81000
161402,Masters degree,21000
165139,Masters degree,125000
1189816,Regular high school diploma,10000
559968,Pre-degree college,52000
332416,Bachelors degree,19000
135131,Masters degree,13000
70464,GED or alternative credential,56000
233952,Regular high school diploma,60000
593334,Bachelors degree,57000
284826,Masters degree,68000
421054,Regular high school diploma,58000
309106,Bachelors degree,5000
1502,Pre-degree college,418000
134843,N/A,13000
249568,Bachelors degree,54000
58125,Associates degree,85000
907,GED or alternative credential,184000
60875,Pre-degree college,102000
404365,Bachelors degree,26000
132197,Masters degree,62000
382299,Regular high school diploma,51000
142414,Masters degree,27000
74142,N/A,31000
410133,Bachelors degree,6000
333648,Bachelors degree,75000
107478,N/A,12000
56877,Associates degree,97000
254455,Bachelors degree,87000
16002,Associates degree,133000
272298,Pre-diploma grade,33000
299964,Bachelors degree,64000
97934,Pre-degree college,107000
3186,Bachelors degree,461000
271500,Masters degree,78000
9715,Pre-degree college,-3000
74968,Regular high school diploma,97000
26569,N/A,72000
64897,Regular high school diploma,92000
30055,Bachelors degree,163000
1112,GED or alternative credential,158000
138163,Bachelors degree,134000
24545,Masters degree,159000
194267,Masters degree,72000
95605,Associates degree,77000
174797,Pre-diploma grade,39000
317537,Bachelors degree,44000
633875,Pre-degree college,22000
260515,Pre-diploma grade,25000
212078,Associates degree,58000
4798,Pre-diploma grade,117000
464846,Bachelors degree,50000
587694,Regular high school diploma,52000
156123,Bachelors degree,115000
174939,Bachelors degree,101000
31150,N/A,125000
6861,Pre-degree college,193000
96867,Masters degree,106000
126734,Masters degree,12000
430976,Bachelors degree,28000
8821,Pre-degree college,175000
249558,Bachelors degree,116000
806756,Pre-degree college,10000
522411,Bachelors degree,41000
167207,Masters degree,31000
255184,Pre-degree college,60000
106951,Pre-degree college,97000
3721,Pre-degree college,226000
550506,Bachelors degree,83000
16314,Pre-degree college,157000
104514,Pre-degree college,85000
10407,Bachelors degree,365000
221952,Associates degree,22000
275078,Regular high school diploma,71000
234528,Masters degree,46000
119764,Masters degree,69000
186624,Bachelors degree,76000
35207,Masters degree,168000
201804,GED or alternative credential,14000
93019,N/A,21000
4285,Pre-diploma grade,136000
87651,GED or alternative credential,38000
31758,Bachelors degree,213000
2038,N/A,669000
3859,Masters degree,385000
19690,N/A,62000
147632,Masters degree,118000
204504,Pre-degree college,81000
32945,N/A,114000
43116,Bachelors degree,147000
10879,Masters degree,274000
186526,Masters degree,114000
117462,Associates degree,81000
6793,Associates degree,157000
179284,Pre-degree college,77000
227933,Associates degree,10000
144027,Regular high school diploma,77000
42546,Regular high school diploma,108000
55986,Associates degree,107000
15465,Associates degree,178000
4588,Masters degree,460000
1070,Pre-degree college,396000
85515,Bachelors degree,131000
118,N/A,678000
307199,Pre-degree college,71000
67685,Regular high school diploma,107000
31263,Pre-degree college,133000
41296,N/A,78000
89175,GED or alternative credential,32000
26417,Bachelors degree,217000
33483,GED or alternative credential,55000
5599,Bachelors degree,275000
31579,Associates degree,139000
9516,Bachelors degree,644000
16756,Bachelors degree,240000
26373,N/A,118000
896,Regular high school diploma,568000
28867,Bachelors degree,201000
127465,Associates degree,60000
60588,Pre-degree college,108000
80272,Masters degree,154000
14694,N/A,154000
19248,GED or alternative credential,95000
51876,Pre-diploma grade,65000
2828,Associates degree,212000
84845,Regular high school diploma,85000
4366,Masters degree,562000
38272,Masters degree,135000
2200,Associates degree,199000
25457,Regular high school diploma,112000
36701,Masters degree,161000
7512,Masters degree,491000
17105,Masters degree,196000
180056,Associates degree,51000
33484,Associates degree,102000
7831,Bachelors degree,314000
1755,Masters degree,663000
52973,N/A,46000
33188,Pre-degree college,178000
6716,Masters degree,258000
47236,Masters degree,126000
46432,Bachelors degree,195000
17298,Pre-diploma grade,82000
16634,Bachelors degree,214000
7362,GED or alternative credential,96000
6950,Masters degree,312000
3840,GED or alternative credential,167000
76407,Pre-diploma grade,48000
12926,Masters degree,284000
13652,Bachelors degree,224000
14519,N/A,106000
42509,N/A,68000
13767,Pre-degree college,223000
59502,Pre-degree college,139000
8,Masters degree,1489000
6207,Regular high school diploma,152000
16926,Pre-diploma grade,94000
3981,Masters degree,445000
16839,Regular high school diploma,133000
11738,Masters degree,231000
2834,Bachelors degree,429000
564,N/A,445000
772,Bachelors degree,674000
3120,N/A,235000
1509,Bachelors degree,641000
2201,Masters degree,392000
1179,Masters degree,533000
95,Pre-degree college,758000
5245,Pre-diploma grade,120000
37337,Associates degree,108000
39729,Regular high school diploma,139000
5167,Masters degree,326000
1378,Pre-degree college,308000
5851,Masters degree,248000
4797,GED or alternative credential,156000
89372,Pre-degree college,92000
4612,Bachelors degree,546000
49236,Associates degree,92000
5136,Masters degree,632000
4075,Bachelors degree,300000
146,GED or alternative credential,366000
1807,Bachelors degree,516000
9774,GED or alternative credential,103000
274,Regular high school diploma,594000
4281,Regular high school diploma,197000
3527,Masters degree,592000
3263,Bachelors degree,400000
10541,Masters degree,221000
4533,Pre-degree college,290000
29150,Pre-diploma grade,74000
8398,Regular high school diploma,157000
8106,Bachelors degree,268000
3517,Bachelors degree,373000
2901,Bachelors degree,414000
3855,N/A,225000
4722,Associates degree,152000
882,Associates degree,383000
3666,Masters degree,360000
7404,Regular high school diploma,223000
8820,Masters degree,564000
4320,Associates degree,197000
5943,Regular high school diploma,-3000
2498,Bachelors degree,699000
2430,Bachelors degree,454000
1822,Pre-degree college,272000
4497,N/A,196000
537,Associates degree,436000
4962,Masters degree,541000
2471,Masters degree,590000
452,Associates degree,371000
19117,Associates degree,112000
2138,N/A,221000
12341,Masters degree,544000
209,Regular high school diploma,627000
17344,Bachelors degree,267000
2957,Regular high school diploma,290000
15979,Bachelors degree,202000
2075,Masters degree,548000
10693,Masters degree,554000
176,Bachelors degree,844000
4264,Bachelors degree,558000
1597,Regular high school diploma,407000
17011,Bachelors degree,204000
19334,Masters degree,225000
58,Pre-degree college,691000
8734,N/A,126000
7877,Pre-diploma grade,98000
915,Associates degree,443000
685,Regular high school diploma,349000
18843,Masters degree,235000
519,Regular high school diploma,402000
6857,Masters degree,269000
1349,Regular high school diploma,263000
3360,Pre-degree college,239000
213,Bachelors degree,815000
38946,Bachelors degree,153000
4921,Bachelors degree,793000
18420,Regular high school diploma,178000
5043,Masters degree,288000
4472,Regular high school diploma,175000
911,Associates degree,272000
1072,Masters degree,783000
639,Masters degree,765000
2221,GED or alternative credential,143000
22593,Bachelors degree,285000
1961,N/A,248000
62,Masters degree,1000000
4725,Bachelors degree,295000
734,Masters degree,725000
3458,Bachelors degree,-6000
2553,Bachelors degree,738000
16012,N/A,69000
1036,Masters degree,811000
5992,Associates degree,223000
11111,Pre-degree college,152000
660,Masters degree,740000
674,Bachelors degree,721000
994,Pre-degree college,327000
5916,Pre-diploma grade,137000
9322,Bachelors degree,287000
7463,N/A,135000
3480,Bachelors degree,462000
6186,Pre-degree college,212000
4582,Bachelors degree,488000
2451,Regular high school diploma,226000
11695,Masters degree,669000
294,Masters degree,855000
1241,Pre-degree college,499000
365,Bachelors degree,770000
1386,Regular high school diploma,266000
368,Associates degree,327000
1231,Pre-diploma grade,232000
4351,Masters degree,379000
3314,Bachelors degree,401000
9607,Pre-degree college,197000
874,GED or alternative credential,198000
2813,Bachelors degree,440000
579,Pre-degree college,408000
3573,Masters degree,451000
229,Pre-diploma grade,264000
360,Pre-diploma grade,466000
163,Pre-diploma grade,368000
489,Pre-degree college,432000
3229,Bachelors degree,510000
1318,Bachelors degree,557000
3751,Masters degree,437000
1125,Pre-degree college,354000
4330,Bachelors degree,441000
614,Pre-degree college,450000
6025,Masters degree,474000
1480,Regular high school diploma,243000
777,Pre-degree college,386000
772,Bachelors degree,616000
5570,N/A,159000
1413,Masters degree,579000
1663,Bachelors degree,569000
3196,Bachelors degree,519000
437,Pre-degree college,567000
31,Pre-diploma grade,639000
3717,Regular high school diploma,193000
2019,N/A,544000
2794,GED or alternative credential,124000
3392,Pre-diploma grade,171000
1144,Regular high school diploma,304000
2863,Bachelors degree,377000
4281,Masters degree,550000
4023,Bachelors degree,521000
1106,Pre-degree college,415000
417,Associates degree,388000
193,GED or alternative credential,259000
2404,N/A,231000
1096,Regular high school diploma,396000
282,Pre-diploma grade,405000
1185,Pre-degree college,304000
7746,N/A,168000
2106,Bachelors degree,423000
4161,Pre-degree college,199000
1544,Masters degree,655000
66,Regular high school diploma,654000
263,Pre-diploma grade,612000
3290,Bachelors degree,350000
2012,N/A,274000
3384,Regular high school diploma,212000
1778,Masters degree,528000
1764,Pre-diploma grade,208000
7881,N/A,161000
2465,Pre-degree college,243000
2330,Bachelors degree,468000
4624,Bachelors degree,552000
2075,Bachelors degree,337000
7218,Masters degree,252000
3885,Masters degree,317000
1391,Pre-degree college,273000
93,Regular high school diploma,714000
1664,Pre-diploma grade,188000
152,Regular high school diploma,537000
900,N/A,288000
434,Associates degree,428000
1937,Bachelors degree,517000
319,Pre-degree college,594000
1723,Bachelors degree,727000
716,N/A,444000
3896,Bachelors degree,343000
47,Masters degree,1182000
601,Masters degree,809000
117,Regular high school diploma,780000
586,GED or alternative credential,192000
1078,Masters degree,850000
3727,Masters degree,551000
1717,Masters degree,531000
1341,Pre-degree college,263000
573,Associates degree,418000
2397,Bachelors degree,482000
485,Bachelors degree,983000
172,GED or alternative credential,265000
1552,Bachelors degree,492000
1359,Associates degree,239000
1172,Pre-degree college,349000
1768,N/A,252000
2391,Pre-diploma grade,162000
2422,Regular high school diploma,199000
347,Pre-diploma grade,412000
259,Pre-degree college,600000
1567,Regular high school diploma,383000
1126,Masters degree,607000
101,Associates degree,656000
2490,Bachelors degree,387000
1007,Regular high school diploma,308000
559,GED or alternative credential,183000
170,Bachelors degree,890000
1784,N/A,554000
1265,Regular high school diploma,499000
188,Bachelors degree,914000
2870,GED or alternative credential,160000
944,Pre-degree college,409000
433,Regular high school diploma,327000
