PWGTP,ESR,name,Income
53100,Unemployed/NA,Public Assistance Income [PAP],4000
10175,Unemployed/NA,Supplementary Security Income [SSIP],6000
86587,Unemployed/NA,Supplementary Security Income [SSIP],2000
1938,Unemployed/NA,Public Assistance Income [PAP],5000
2883,Civilian employed,Public Assistance Income [PAP],1000
1926,Unemployed/NA,Supplementary Security Income [SSIP],2000
16536,Unemployed/NA,Public Assistance Income [PAP],10000
1108,Unemployed/NA,Supplementary Security Income [SSIP],6000
11200,Unemployed/NA,Supplementary Security Income [SSIP],1000
2245,Unemployed/NA,Supplementary Security Income [SSIP],11000
1023,Unemployed/NA,Supplementary Security Income [SSIP],16000
1118,Unemployed/NA,Supplementary Security Income [SSIP],18000
8631,Unemployed/NA,Supplementary Security Income [SSIP],4000
13974,Unemployed/NA,Supplementary Security Income [SSIP],10000
6067,Unemployed/NA,Public Assistance Income [PAP],2000
3539,Unemployed/NA,Supplementary Security Income [SSIP],11000
3463,Unemployed/NA,Supplementary Security Income [SSIP],13000
2871,Unemployed/NA,Supplementary Security Income [SSIP],10000
2182,Unemployed/NA,Supplementary Security Income [SSIP],1000
1702,Civilian employed,Public Assistance Income [PAP],4000
2067,Unemployed/NA,Supplementary Security Income [SSIP],11000
3394,Unemployed/NA,Supplementary Security Income [SSIP],10000
10440,Unemployed/NA,Supplementary Security Income [SSIP],9000
2161,Unemployed/NA,Supplementary Security Income [SSIP],4000
1002,Unemployed/NA,Supplementary Security Income [SSIP],9000
6920,Unemployed/NA,Supplementary Security Income [SSIP],2000
1807,Civilian employed,Supplementary Security Income [SSIP],8000
1973,Unemployed/NA,Supplementary Security Income [SSIP],12000
1142,Unemployed/NA,Public Assistance Income [PAP],3000
1652,Unemployed/NA,Supplementary Security Income [SSIP],5000
1381,Unemployed/NA,Supplementary Security Income [SSIP],28000
4190,Unemployed/NA,Public Assistance Income [PAP],2000
3739,Civilian employed,Supplementary Security Income [SSIP],10000
1632,Civilian employed,Public Assistance Income [PAP],1000
1090,Unemployed/NA,Supplementary Security Income [SSIP],3000
1159,Unemployed/NA,Public Assistance Income [PAP],4000
1017,Civilian employed,Public Assistance Income [PAP],3000
1524,Unemployed/NA,Public Assistance Income [PAP],12000
1848,Civilian employed,Public Assistance Income [PAP],1000
1587,Civilian employed,Supplementary Security Income [SSIP],10000
3342,Unemployed/NA,Public Assistance Income [PAP],3000
3342,Unemployed/NA,Supplementary Security Income [SSIP],10000
1436,Civilian employed,Public Assistance Income [PAP],2000
2260,Unemployed/NA,Supplementary Security Income [SSIP],4000
1788,Unemployed/NA,Supplementary Security Income [SSIP],10000
1882,Unemployed/NA,Supplementary Security Income [SSIP],13000
2848,Unemployed/NA,Public Assistance Income [PAP],11000
2410,Civilian employed,Public Assistance Income [PAP],1000
1250,Unemployed/NA,Supplementary Security Income [SSIP],1000
1093,Civilian employed,Public Assistance Income [PAP],4000
1248,Unemployed/NA,Supplementary Security Income [SSIP],16000
1125,Civilian employed,Public Assistance Income [PAP],2000
1051,Unemployed/NA,Supplementary Security Income [SSIP],16000
1106,Unemployed/NA,Public Assistance Income [PAP],6000
1521,Civilian employed,Supplementary Security Income [SSIP],6000
1348,Civilian employed,Public Assistance Income [PAP],2000
1152,Civilian employed,Supplementary Security Income [SSIP],10000
118588,Unemployed/NA,Public Assistance Income [PAP],2000
7073,Unemployed/NA,Supplementary Security Income [SSIP],2000
21691,Unemployed/NA,Public Assistance Income [PAP],8000
30286,Unemployed/NA,Supplementary Security Income [SSIP],19000
11353,Unemployed/NA,Supplementary Security Income [SSIP],5000
2698,Unemployed/NA,Public Assistance Income [PAP],1000
1291,Unemployed/NA,Supplementary Security Income [SSIP],15000
1747,Unemployed/NA,Supplementary Security Income [SSIP],17000
28991,Unemployed/NA,Supplementary Security Income [SSIP],2000
11996,Unemployed/NA,Supplementary Security Income [SSIP],3000
2577,Unemployed/NA,Supplementary Security Income [SSIP],2000
13345,Unemployed/NA,Supplementary Security Income [SSIP],6000
1222,Civilian employed,Supplementary Security Income [SSIP],9000
1744,Unemployed/NA,Supplementary Security Income [SSIP],12000
2678,Unemployed/NA,Supplementary Security Income [SSIP],1000
14164,Unemployed/NA,Supplementary Security Income [SSIP],27000
1147,Civilian employed,Supplementary Security Income [SSIP],6000
1810,Unemployed/NA,Public Assistance Income [PAP],2000
1810,Unemployed/NA,Supplementary Security Income [SSIP],6000
3274,Civilian employed,Supplementary Security Income [SSIP],10000
7015,Unemployed/NA,Supplementary Security Income [SSIP],8000
1777,Civilian employed,Public Assistance Income [PAP],2000
1044,Unemployed/NA,Supplementary Security Income [SSIP],21000
2852,Unemployed/NA,Supplementary Security Income [SSIP],3000
2215,Unemployed/NA,Public Assistance Income [PAP],2000
2215,Unemployed/NA,Supplementary Security Income [SSIP],11000
1346,Unemployed/NA,Supplementary Security Income [SSIP],3000
2020,Civilian employed,Supplementary Security Income [SSIP],10000
1289,Unemployed/NA,Public Assistance Income [PAP],22000
1811,Unemployed/NA,Public Assistance Income [PAP],4000
1145,Unemployed/NA,Supplementary Security Income [SSIP],11000
2121,Unemployed/NA,Public Assistance Income [PAP],4000
2121,Unemployed/NA,Supplementary Security Income [SSIP],10000
1001,Civilian employed,Supplementary Security Income [SSIP],9000
2739,Civilian employed,Public Assistance Income [PAP],1000
1399,Unemployed/NA,Supplementary Security Income [SSIP],28000
1731,Civilian employed,Public Assistance Income [PAP],1000
1960,Civilian employed,Public Assistance Income [PAP],2000
1498,Civilian employed,Public Assistance Income [PAP],1000
1332,Unemployed/NA,Public Assistance Income [PAP],23000
1579,Unemployed/NA,Supplementary Security Income [SSIP],14000
1598,Unemployed/NA,Supplementary Security Income [SSIP],16000
3452,Unemployed/NA,Public Assistance Income [PAP],1000
1011,Civilian employed,Public Assistance Income [PAP],3000
